ensembl_id,gene_class
ENSG00000005339,tumour_suppressor
ENSG00000007312,oncogene
ENSG00000009307,tumour_suppressor
ENSG00000012048,tumour_suppressor
ENSG00000035928,tumour_suppressor
ENSG00000036257,tumour_suppressor
ENSG00000039068,tumour_suppressor
ENSG00000049618,tumour_suppressor
ENSG00000054118,tumour_suppressor
ENSG00000055130,oncogene
ENSG00000055609,tumour_suppressor
ENSG00000057657,tumour_suppressor
ENSG00000060566,tumour_suppressor
ENSG00000064012,tumour_suppressor
ENSG00000064933,oncogene
ENSG00000065361,oncogene
ENSG00000065559,tumour_suppressor
ENSG00000066427,tumour_suppressor
ENSG00000066468,oncogene
ENSG00000067560,oncogene
ENSG00000067955,tumour_suppressor
ENSG00000068078,oncogene
ENSG00000069248,tumour_suppressor
ENSG00000071626,tumour_suppressor
ENSG00000072501,oncogene
ENSG00000076242,tumour_suppressor
ENSG00000079432,tumour_suppressor
ENSG00000079999,tumour_suppressor
ENSG00000081237,oncogene
ENSG00000082175,tumour_suppressor
ENSG00000082898,oncogene
ENSG00000083642,tumour_suppressor
ENSG00000083799,tumour_suppressor
ENSG00000083857,tumour_suppressor
ENSG00000084674,tumour_suppressor
ENSG00000085224,tumour_suppressor
ENSG00000085276,oncogene
ENSG00000085511,tumour_suppressor
ENSG00000086758,tumour_suppressor
ENSG00000087460,oncogene
ENSG00000088256,oncogene
ENSG00000095002,tumour_suppressor
ENSG00000095015,tumour_suppressor
ENSG00000096968,oncogene
ENSG00000097007,oncogene
ENSG00000099821,oncogene
ENSG00000099956,oncogene
ENSG00000100030,oncogene
ENSG00000100345,oncogene
ENSG00000100393,tumour_suppressor
ENSG00000100697,oncogene
ENSG00000100888,tumour_suppressor
ENSG00000101333,oncogene
ENSG00000101972,tumour_suppressor
ENSG00000102038,tumour_suppressor
ENSG00000102145,tumour_suppressor
ENSG00000102554,oncogene
ENSG00000102900,tumour_suppressor
ENSG00000102974,tumour_suppressor
ENSG00000103126,tumour_suppressor
ENSG00000103197,tumour_suppressor
ENSG00000104884,oncogene
ENSG00000105464,oncogene
ENSG00000105568,oncogene
ENSG00000105639,oncogene
ENSG00000105647,oncogene
ENSG00000105851,oncogene
ENSG00000105976,oncogene
ENSG00000106462,oncogene
ENSG00000107485,tumour_suppressor
ENSG00000108055,oncogene
ENSG00000108375,tumour_suppressor
ENSG00000108946,tumour_suppressor
ENSG00000109670,tumour_suppressor
ENSG00000110092,oncogene
ENSG00000110395,oncogene
ENSG00000111276,tumour_suppressor
ENSG00000111642,oncogene
ENSG00000113318,oncogene
ENSG00000115170,oncogene
ENSG00000115524,oncogene
ENSG00000115904,oncogene
ENSG00000116016,oncogene
ENSG00000116044,oncogene
ENSG00000116062,tumour_suppressor
ENSG00000116251,tumour_suppressor
ENSG00000117400,oncogene
ENSG00000117595,tumour_suppressor
ENSG00000117713,tumour_suppressor
ENSG00000118046,tumour_suppressor
ENSG00000118058,tumour_suppressor
ENSG00000118503,tumour_suppressor
ENSG00000119414,oncogene
ENSG00000119772,tumour_suppressor
ENSG00000120063,oncogene
ENSG00000120071,tumour_suppressor
ENSG00000121067,oncogene
ENSG00000121741,tumour_suppressor
ENSG00000121879,oncogene
ENSG00000121989,tumour_suppressor
ENSG00000122025,oncogene
ENSG00000122406,tumour_suppressor
ENSG00000122512,tumour_suppressor
ENSG00000123080,tumour_suppressor
ENSG00000124181,oncogene
ENSG00000124486,tumour_suppressor
ENSG00000124762,tumour_suppressor
ENSG00000125398,tumour_suppressor
ENSG00000125726,tumour_suppressor
ENSG00000125798,tumour_suppressor
ENSG00000125846,oncogene
ENSG00000125952,oncogene
ENSG00000126012,tumour_suppressor
ENSG00000127603,oncogene
ENSG00000127616,oncogene
ENSG00000128602,oncogene
ENSG00000129474,tumour_suppressor
ENSG00000129514,oncogene
ENSG00000130294,tumour_suppressor
ENSG00000130635,oncogene
ENSG00000130816,oncogene
ENSG00000131023,tumour_suppressor
ENSG00000131323,tumour_suppressor
ENSG00000131653,tumour_suppressor
ENSG00000132522,tumour_suppressor
ENSG00000133703,oncogene
ENSG00000133818,oncogene
ENSG00000133895,tumour_suppressor
ENSG00000134086,tumour_suppressor
ENSG00000134250,tumour_suppressor
ENSG00000134323,oncogene
ENSG00000134352,tumour_suppressor
ENSG00000134371,tumour_suppressor
ENSG00000134853,oncogene
ENSG00000134982,tumour_suppressor
ENSG00000135100,tumour_suppressor
ENSG00000135111,tumour_suppressor
ENSG00000135446,oncogene
ENSG00000135503,tumour_suppressor
ENSG00000135829,oncogene
ENSG00000136238,oncogene
ENSG00000136826,oncogene
ENSG00000136997,oncogene
ENSG00000137193,oncogene
ENSG00000138413,oncogene
ENSG00000139618,tumour_suppressor
ENSG00000139687,tumour_suppressor
ENSG00000140262,tumour_suppressor
ENSG00000140836,tumour_suppressor
ENSG00000141027,tumour_suppressor
ENSG00000141510,tumour_suppressor
ENSG00000141579,tumour_suppressor
ENSG00000141646,tumour_suppressor
ENSG00000141736,oncogene
ENSG00000141837,oncogene
ENSG00000142208,oncogene
ENSG00000142627,tumour_suppressor
ENSG00000143878,oncogene
ENSG00000143970,tumour_suppressor
ENSG00000145675,tumour_suppressor
ENSG00000145715,tumour_suppressor
ENSG00000146648,oncogene
ENSG00000147050,tumour_suppressor
ENSG00000147130,tumour_suppressor
ENSG00000147133,oncogene
ENSG00000147202,oncogene
ENSG00000147889,tumour_suppressor
ENSG00000148400,tumour_suppressor
ENSG00000148737,tumour_suppressor
ENSG00000149311,tumour_suppressor
ENSG00000150347,tumour_suppressor
ENSG00000150457,tumour_suppressor
ENSG00000152207,oncogene
ENSG00000152217,oncogene
ENSG00000152518,tumour_suppressor
ENSG00000156052,oncogene
ENSG00000156304,tumour_suppressor
ENSG00000156508,oncogene
ENSG00000156531,tumour_suppressor
ENSG00000157404,oncogene
ENSG00000157450,tumour_suppressor
ENSG00000157764,oncogene
ENSG00000158079,oncogene
ENSG00000159216,tumour_suppressor
ENSG00000159388,tumour_suppressor
ENSG00000160007,tumour_suppressor
ENSG00000160201,oncogene
ENSG00000160685,tumour_suppressor
ENSG00000161547,oncogene
ENSG00000162434,tumour_suppressor
ENSG00000162613,tumour_suppressor
ENSG00000163435,tumour_suppressor
ENSG00000163513,tumour_suppressor
ENSG00000163554,tumour_suppressor
ENSG00000163631,tumour_suppressor
ENSG00000163930,tumour_suppressor
ENSG00000163939,tumour_suppressor
ENSG00000164190,tumour_suppressor
ENSG00000164379,tumour_suppressor
ENSG00000164736,oncogene
ENSG00000164853,oncogene
ENSG00000164985,tumour_suppressor
ENSG00000165409,oncogene
ENSG00000165458,tumour_suppressor
ENSG00000165671,tumour_suppressor
ENSG00000165699,tumour_suppressor
ENSG00000165731,oncogene
ENSG00000166164,tumour_suppressor
ENSG00000166710,tumour_suppressor
ENSG00000167258,tumour_suppressor
ENSG00000167548,tumour_suppressor
ENSG00000167658,tumour_suppressor
ENSG00000168036,oncogene
ENSG00000168066,oncogene
ENSG00000168310,tumour_suppressor
ENSG00000168646,tumour_suppressor
ENSG00000168769,tumour_suppressor
ENSG00000169032,oncogene
ENSG00000169083,oncogene
ENSG00000169375,tumour_suppressor
ENSG00000169564,oncogene
ENSG00000170004,tumour_suppressor
ENSG00000171094,oncogene
ENSG00000171456,tumour_suppressor
ENSG00000171681,tumour_suppressor
ENSG00000171791,oncogene
ENSG00000171862,tumour_suppressor
ENSG00000172936,oncogene
ENSG00000173674,oncogene
ENSG00000174197,tumour_suppressor
ENSG00000174460,oncogene
ENSG00000174775,oncogene
ENSG00000175054,tumour_suppressor
ENSG00000175387,tumour_suppressor
ENSG00000176571,oncogene
ENSG00000177189,tumour_suppressor
ENSG00000177426,tumour_suppressor
ENSG00000177565,tumour_suppressor
ENSG00000178568,oncogene
ENSG00000179295,oncogene
ENSG00000179348,oncogene
ENSG00000181163,oncogene
ENSG00000181555,tumour_suppressor
ENSG00000181722,tumour_suppressor
ENSG00000182054,oncogene
ENSG00000182578,oncogene
ENSG00000182872,tumour_suppressor
ENSG00000183337,tumour_suppressor
ENSG00000183765,tumour_suppressor
ENSG00000183770,oncogene
ENSG00000184634,oncogene
ENSG00000184675,tumour_suppressor
ENSG00000184937,oncogene
ENSG00000184956,tumour_suppressor
ENSG00000185338,tumour_suppressor
ENSG00000185650,tumour_suppressor
ENSG00000185920,tumour_suppressor
ENSG00000186350,oncogene
ENSG00000186575,tumour_suppressor
ENSG00000187514,tumour_suppressor
ENSG00000189079,tumour_suppressor
ENSG00000196092,tumour_suppressor
ENSG00000196576,oncogene
ENSG00000196712,tumour_suppressor
ENSG00000196924,tumour_suppressor
ENSG00000197694,tumour_suppressor
ENSG00000198286,oncogene
ENSG00000198561,tumour_suppressor
ENSG00000198793,oncogene
ENSG00000198947,oncogene
ENSG00000204209,tumour_suppressor
ENSG00000205542,tumour_suppressor
ENSG00000205755,oncogene
ENSG00000206503,tumour_suppressor
ENSG00000213281,oncogene
ENSG00000213424,tumour_suppressor
ENSG00000215301,tumour_suppressor
ENSG00000234745,tumour_suppressor
ENSG00000245848,oncogene
ENSG00000263001,oncogene
ENSG00000265972,tumour_suppressor
ENSG00000272333,tumour_suppressor
ENSG00000276644,oncogene
